"Understanding Blockchain, AU, & Machine Learning",Summer Camp,University,University,*Columbia,Virtual,NY,High School,High,,5 days,"$2,546",
Cornell - Introduction to Robotics with Arduino,Summer Camp,University,University,*Cornell,Virtual,NY,Grade 10-12,High,,3 weeks,"$1,575",
NYU Tandon Machine Learning,Summer Camp,University,University,*NYU,Virtual,NY,High School,High,,2 weeks,"$2,000",
"NYU, Tisch School of the Arts - Game Center",Summer Camp,University,University,*NYU,Virtual,NY,,,,4 weeks,,
Syracuse: Cybersecurity - Hackathon Challenge,Summer Camp,University,University,*Syracuse,Virtual,NY,Grade 10-12,High,,3 & 6 Weeks,,
Columbia U - Matlab: Computer modeling for science and technology,Summer Camp,University,University,Columbia,,NY,High School,High,,3 weeks,"$6,010",
Computer Programming Camp,Summer Camp,University,University,Hofstra,,NY,Grades 2-10,"Elementary, Middle, High",,12 days,"$1,050",
Hofstra Robotics Summer Camp,Summer Camp,University,University,Hofstra University,,NY,Grades 2-10,"Elementary, Middle, High",,2 weeks,,
Blue Stamp Engineering: New York,Summer Camp,Private,Private,New York City,,NY,High School,High,,2-6 weeks,$1950-$4200,
AI Scholars (Inspirit AI): New York,Summer Camp,Private,Private,New York City,,NY,High School,High,,10 days,"$1,500",
Google CSSI Extension Queens College,Summer Camp,Private,BigTech,Queens College,Virtual,NY,Graduating Seniors,High,,4 Weeks,Free,
Stony Brook University - IACS Computes! HS Summer Camp,Summer Camp,University,University,Stony Brook,,NY,Grade 11-12,High,,10 days,$575,
Next Gen Bootcamp,Summer Camp,Private,Private Online,Virtual,,"NY, Virtual",High School,High,,30 Hours,"$1,295",
Coding: Learn to Code at Syracuse University,Summer Camp,University,University,Virtual,,"NY, Virtual",High School,High,,3 weeks,,
Cybersecurity: Hack-A-Thon Challenge at Syracuse,Summer Camp,University,University,Virtual,,"NY, Virtual",High School,High,,3 weeks,,
Ohio Supercomputer Center Summer Institute,Summer Camp,University,University,*Columbus,Cancelled for 2021,OH,Grades 9-11,High,,2 weeks,$526,
Lego Robot Camp,Summer Camp,Private,Private,Dublin,,OH,Ages 4-14,"Elementary, Middle, High",,5 days,$249-$495,
Data Science for Women Summer Camp,Summer Camp,University,University,Ohio State University,,OH,Grades 8-10,Middle,about 35 students,1 week,Free,
Techy Kids Summer Camp,Summer Camp,Private,Private,Oklahoma City,,OK,Grades K-7,"Elementary, Middle",,5 days,$250-$400,
Tulsa Stem Coding Camp,Summer Camp,Nonprofit,Nonprofit,Virtual,,"OK, Virtual",,,,5 days,Free,
Oregon Tech Lego Camp,Summer Camp,University,University,Oregon Institute of Technology,,OR,Grades 1-9,"Elementary, Middle",,5 days,$150-$175,
Blender Computing Camp,Summer Camp,University,University,Oregon State University ,,OR,Grades 9-12,High,,5 days,$160,
OSU Coding Camp,Summer Camp,University,University,Oregon State University ,,OR,Grades 4-5,Elementary,,5 days,$160,
OMSI Coding Bootcamp,Summer Camp,Nonprofit,Nonprofit,Portland,,OR,Grades 6-9,"Middle, High",,5 days,$315-$394,
OMSI Digital Bootcamp,Summer Camp,Nonprofit,Nonprofit,Portland,,OR,Grades 6-8,Middle,,5 days,$315-$394,
NW Advanced Programming Workshop,Summer Camp,University,University,Portland State University,,OR,High School,High,35,3 weeks,Free,
Bryn Mawr College - Alexa Café Program,Summer Camp,Private,Private,*Bryn Mawr,Virtual,PA,Age 10-15 girls,"Elementary, Middle, High",,,,
Carnegie Mellon - Summer Pre-College National High School Game Academy,Summer Camp,University,University,*Carnagie Mellon,Virtual,PA,Age 16-18,High,,3-6 weeks,$3626-$5510,
Carnegie Mellon University - AI4All,Summer Camp,Private,AI4All,*Carnegie Mellon,Virtual,PA,Grades 10-11,High,,3 weeks,Free,
Penn State Summer Enrichment Program,Summer Camp,University,University,*Penn State Harrisburg,Cancelled for 2021,PA,Grades 10-11,High,,2 weeks,Free?,
Engineering Summer Academy at Penn ,Summer Camp,University,University,*Philadelphia,Virtual,PA,College,Postsecondary,,3 weeks,"$4,850",
Emagination Computer Camps: Pennsylvania,Summer Camp,Private,Private Online,*Rosemont College,Virtual,PA,Age 8-17,"Elementary, Middle, High",,1-2 weeks,$895-$3095,
University of Pennsylvania - AI4All,Summer Camp,Private,AI4All,*University of Pennslvania ,Virtual,PA,Grades 9-10,High,,2 weeks,Free,
Penn Summer Coding Camp,Summer Camp,University,University,*University of Pennslvania ,Virtual,PA,Ages 14-18,High,,3 weeks,"$2,500",
Eastern Pennsylvania Robotics Alliance Camp,Summer Camp,Nonprofit,Nonprofit,Springfield,,PA,Grades K-12,"Elementary, Middle, High",,5 days,$495,
My Stem Academy: Coding with Lego EV3,Summer Camp,Private,Private,Wexford,,"PA, Virtual",Grades 4-5,Elementary,,5 days,$250,
My Stem Academy: Coole Projects with Lego Mindstorms,Summer Camp,Private,Private,Wexford,,"PA, Virtual",Grades 3-5,Elementary,,5 days,$250,
My Stem Academy: Design and Build with Lego,Summer Camp,Private,Private,Wexford,,"PA, Virtual",Grades 1-2,Elementary,,5 days,$250,
My Stem Academy: Design and Build with Lego WeDo,Summer Camp,Private,Private,Wexford,,"PA, Virtual",Grades 1-2,Elementary,,5 days,$250,
My Stem Academy: Fundamentals of STEM with VEX GO,Summer Camp,Private,Private,Wexford,,"PA, Virtual",Grades 2-3,Elementary,,5 days,$250,
My Stem Academy: SPIKE Prime LEGO Robotics,Summer Camp,Private,Private,Wexford,,"PA, Virtual",Grades 3-4,Elementary,,5 days,$250,
My Stem Academy: VEX IQ Robotics,Summer Camp,Private,Private,Wexford,,"PA, Virtual",Grades 6-8,Middle,,5 days,$250,
