Program,URL,Type,Organization Type,Target,Cost,Detailed Location,Location,Underrepresented,Gender,Race/Ethnicity,Community,Objective,Level,Cost,Pre-recs,Duration
Codakid,https://codakid.com/,Summer Camp,Private,"Elementary, Middle, High",,Virtual,"AZ, Virtual",,,,,"Join our community of over 30,000 online students. Learn real coding from expert teachers from the comfort of home.",Ages 6-15,,,
UC Berkeley- AI4ALL,http://ai-4-all.org/summer-programs/,Summer Camp,Non-Profit,High,,*Berkeley,CA,Underrepresented,,,,"AI is everywhere. Help create the future by learning how to use AI to solve problems you care about. At AI4ALL Summer Programs, you’re immersed in hands-on learning, mentorship by top AI practitioners, and supportive peer networks at top universities.",Grade 9-11,,,5 days
UCLA Game Lab,https://www.summer.ucla.edu/institutes/GameLab,Summer Camp,University,High,$2189-$2731,*Los Angeles,CA,,,,,"During the two-week program, the UCLA Game Lab Summer Institute will introduce students to the art and technology of game development through a four-course curriculum. These courses are designed to complement each other, providing students a comprehensive introduction to making games and games art. This includes learning the fundamentals of game design; creating characters and avatars that express personality and identity through animation or movement; building unique and compelling game worlds to navigate or explore; and developing programming skills to create interactive, gameplay experiences.",High School,$2189-$2731,,2 weeks
UCLA - Application of Nanoscience summer institute,https://www.summer.ucla.edu/institutes/ApplicationsofNanoscience,Summer Camp,University,High,$2106-$2486,*Los Angeles,CA,,,,,"During this two-week program, students have the unique opportunity to explore questions similar to those currently investigated by the scientific community. The program involves hands-on experiments that combine vigorous scientific methodologies and techniques with projects that are both fun and exciting. Moreover, students will work on a team project to experience the process of proposing a scientific research. At the end of this program, students will better understand what makes nanoscience and nanotechnology one of the most exciting fields of research today, how to read a technical journal article, and the basic skills for proposing a new scientific research project.",High School,$2106-$2486,,2 weeks
UCLA - Design Media Arts (DMA),http://www.summer.ucla.edu/institutes/DesignMediaArts,Summer Camp,University,High,$2069-$2611,*Los Angeles,CA,,,,,"During the two-week program, students explore a variety of media examining different practices and design methods applied to the domains of type, net, worlds, and video. Broadly addressing a common theme, all four classes contribute to the creation of an integrated, multi-media exhibition at the end of the residency. Each class is taught by one instructor and one program assistant; class size is limited to a maximum of 20 students.",High School,$2069-$2611,,2 weeks
UC San Francisco - AI4ALL,http://ai-4-all.org/summer-programs/,Summer Camp,Non-Profit,"Middle, High",Free,*San Francisco,CA,Underrepresented,,,,"AI is everywhere. Help create the future by learning how to use AI to solve problems you care about. At AI4ALL Summer Programs, you’re immersed in hands-on learning, mentorship by top AI practitioners, and supportive peer networks at top universities.",Grade 8-11,Free,,3 weeks
Techlab,https://techlab.education/,Summer Camp,Private,"Elementary, Middle, High",,*San Francisco,CA,,,,,"Our mission is to help nurture and groom our student leaders for 2030. We are passionate about nurturing makers, problem solvers & entrepreneurs.",Grade 5-12,,,
Stanford - AI4ALL,http://ai4all.stanford.edu/,Summer Camp,Non-Profit,High,2000.0,*Stanford,CA,Underrepresented,,,,"AI is everywhere. Help create the future by learning how to use AI to solve problems you care about. At AI4ALL Summer Programs, you’re immersed in hands-on learning, mentorship by top AI practitioners, and supportive peer networks at top universities.",Grade 9,2000.0,,3 weeks
UC COSMOS,https://jacobsschool.ucsd.edu/cosmos,Summer Camp,University,"Middle, High",4500.0,*UC Campuses,CA,,,,,"COSMOS strives to motivate the most creative minds of the new generation of prospective scientists, engineers, and mathematicians who will become the future leaders for California, our nation, and the world. The program aims to create a community of students who participate in and contribute to an intensive academic experience delivered by distinguished educators and scholars.",Grades 8-12,4500.0,,4 Weeks
PlanetBravo Techno-Tainment Camp,https://www.planetbravo.com/camps/,Summer Camp,Private,"Elementary, Middle",399.0,10 locations around CA,CA,,,,,"From the beginning, PlanetBravo's award-winning summer camp has always been about giving kids a fun, confidence-boosting experience where they can explore and develop new multimedia skills with their friends. Whether it's learning to code, making movies, modding Minecraft, or building robots, our kids are using their summers to do incredible things with technology here at camp.",Grades K-8,399.0,,5 Days
PlantBravo: Java 2-Week Intensive,https://www.planetbravo.com/camps/courses2021.php,Summer Camp,Private,"Middle, High",923.0,CA,CA,,,,,"From the beginning, PlanetBravo's award-winning summer camp has always been about giving kids a fun, confidence-boosting experience where they can explore and develop new multimedia skills with their friends. Whether it's learning to code, making movies, modding Minecraft, or building robots, our kids are using their summers to do incredible things with technology here at camp.",Grades 6-9,923.0,,2 weeks
PlanetBravo: Coding 101 with Python,https://www.planetbravo.com/camps/courses2021.php,Summer Camp,Private,"Elementary, Middle, High",549.0,CA,CA,,,,,"From the beginning, PlanetBravo's award-winning summer camp has always been about giving kids a fun, confidence-boosting experience where they can explore and develop new multimedia skills with their friends. Whether it's learning to code, making movies, modding Minecraft, or building robots, our kids are using their summers to do incredible things with technology here at camp.",Grades 4-9,549.0,,5 days
PlanetBravo: Game Design with Python,https://www.planetbravo.com/camps/courses2021.php,Summer Camp,Private,"Elementary, Middle, High",549.0,CA,CA,,,,,"From the beginning, PlanetBravo's award-winning summer camp has always been about giving kids a fun, confidence-boosting experience where they can explore and develop new multimedia skills with their friends. Whether it's learning to code, making movies, modding Minecraft, or building robots, our kids are using their summers to do incredible things with technology here at camp.",Grades 4-9,549.0,,5 days
PlanetBravo: Intro to Game Design,https://www.planetbravo.com/camps/courses2021.php,Summer Camp,Private,"Elementary, Middle, High",549.0,CA,CA,,,,,"From the beginning, PlanetBravo's award-winning summer camp has always been about giving kids a fun, confidence-boosting experience where they can explore and develop new multimedia skills with their friends. Whether it's learning to code, making movies, modding Minecraft, or building robots, our kids are using their summers to do incredible things with technology here at camp.",Grades 4-9,549.0,,5 days
PlanetBravo: JavaScript Game Coding,https://www.planetbravo.com/camps/courses2021.php,Summer Camp,Private,"Elementary, Middle, High",549.0,CA,CA,,,,,"From the beginning, PlanetBravo's award-winning summer camp has always been about giving kids a fun, confidence-boosting experience where they can explore and develop new multimedia skills with their friends. Whether it's learning to code, making movies, modding Minecraft, or building robots, our kids are using their summers to do incredible things with technology here at camp.",Grades 4-9,549.0,,5 days
PlanetBravo: Minecraft Modding,https://www.planetbravo.com/camps/courses2021.php,Summer Camp,Private,"Elementary, Middle, High",549.0,CA,CA,,,,,"From the beginning, PlanetBravo's award-winning summer camp has always been about giving kids a fun, confidence-boosting experience where they can explore and develop new multimedia skills with their friends. Whether it's learning to code, making movies, modding Minecraft, or building robots, our kids are using their summers to do incredible things with technology here at camp.",Grades 4-9,549.0,,5 days
PlanetBravo: Minecraft Mod Makers,https://www.planetbravo.com/camps/courses2021.php,Summer Camp,Private,Elementary,549.0,CA,CA,,,,,"From the beginning, PlanetBravo's award-winning summer camp has always been about giving kids a fun, confidence-boosting experience where they can explore and develop new multimedia skills with their friends. Whether it's learning to code, making movies, modding Minecraft, or building robots, our kids are using their summers to do incredible things with technology here at camp.",Grades 2-3,549.0,,5 days
PlanetBravo: Roblox Game Design,https://www.planetbravo.com/camps/courses2021.php,Summer Camp,Private,"Elementary, Middle, High",549.0,CA,CA,,,,,"From the beginning, PlanetBravo's award-winning summer camp has always been about giving kids a fun, confidence-boosting experience where they can explore and develop new multimedia skills with their friends. Whether it's learning to code, making movies, modding Minecraft, or building robots, our kids are using their summers to do incredible things with technology here at camp.",Grades 4-9,549.0,,5 days
PlanetBravo: Unity 3D Game Design,https://www.planetbravo.com/camps/courses2021.php,Summer Camp,Private,"Elementary, Middle, High",549.0,CA,CA,,,,,"From the beginning, PlanetBravo's award-winning summer camp has always been about giving kids a fun, confidence-boosting experience where they can explore and develop new multimedia skills with their friends. Whether it's learning to code, making movies, modding Minecraft, or building robots, our kids are using their summers to do incredible things with technology here at camp.",Grades 4-9,549.0,,5 days
PlanetBravo: Virtual Robotics,https://www.planetbravo.com/camps/courses2021.php,Summer Camp,Private,"Elementary, Middle, High",549.0,CA,CA,,,,,"From the beginning, PlanetBravo's award-winning summer camp has always been about giving kids a fun, confidence-boosting experience where they can explore and develop new multimedia skills with their friends. Whether it's learning to code, making movies, modding Minecraft, or building robots, our kids are using their summers to do incredible things with technology here at camp.",Grades 4-9,549.0,,5 days
Google CSSI Extension: California State University,https://buildyourfuture.withgoogle.com/programs/computer-science-summer-institute/,Summer Camp,Private,High,Free,California State,CA,Underrepresented,,,,"CSSI: Online is not your average virtual summer camp. It’s an intensive, interactive, and fun program that seeks to inspire the tech leaders and innovators of tomorrow by supporting the study of computer science, software engineering, and other closely-related subjects. Check out the CSSI: Online and CSSI: Extension tabs for more information.",Graduating Seniors,Free,,4 Weeks
Beall Center - Coding + Design,http://beallcenter.uci.edu/summer-camps,Summer Camp,Private,"Elementary, Middle",499.0,Irvine,CA,,,,Community,The Beall Center for Art + Technology's S.T.E.A.M. Camps are currently on hiatus.,Age 8-12,499.0,,5 days
Google CSSI Extension Loyola Marymount University,https://buildyourfuture.withgoogle.com/programs/computer-science-summer-institute/,Summer Camp,Private,High,Free,Loyla Marymount University,CA,Underrepresented,,,,"CSSI: Online is not your average virtual summer camp. It’s an intensive, interactive, and fun program that seeks to inspire the tech leaders and innovators of tomorrow by supporting the study of computer science, software engineering, and other closely-related subjects. Check out the CSSI: Online and CSSI: Extension tabs for more information.",Graduating Seniors,Free,,4 Weeks
SciTech Summer Camp,http://www.desertrobotics.com/summer-camps.html,Summer Camp,Non-Profit,Elementary,150.0,Palm Springs,CA,,,,Community,"Our summer camps are a fun, hands-on way to explore the world of Science, Technology, Engineering, Arts, and Math. Including Programming, Engineering Concepts, Scientific Exploration, Digital Media, Robotics, and more! Summer at SciTech is ALWAYS an amazing summer of fun and discovery!",Grades 1-5,150.0,,5 days
Blue Stamp Engineering: Palo Alto,https://bluestampengineering.com/palo-alto/,Summer Camp,Private,High,$1950-$4200,Palo Alto,CA,,,,,Students will be challenged to create their passion project in a nurturing and full-featured environment.,High School,$1950-$4200,,2-6 weeks
AI Scholars (Inspirit AI): Palo Alto,https://www.inspiritai.com/paloalto,Summer Camp,Private,High,1500.0,Palo Alto,CA,,,,,"The 10-day program exposes students to fundamental AI concepts, and guides them to build a socially impactful AI project. The program runs as a 10-session (40 hour) project-based bootcamp.",High School,1500.0,,10 days
Blue Stamp Engineering: San Francisco,https://bluestampengineering.com/sf/,Summer Camp,Private,High,$1850 - $3900,San Francisco,CA,,,,,"Our summer camps are a fun, hands-on way to explore the world of Science, Technology, Engineering, Arts, and Math. Including Programming, Engineering Concepts, Scientific Exploration, Digital Media, Robotics, and more! Summer at SciTech is ALWAYS an amazing summer of fun and discovery!",High School,$1850 - $3900,,2-6 weeks
Ai Scholars (Inspirit AI) San Francisco,https://www.inspiritai.com/sanfrancisco,Summer Camp,Private,High,1500.0,San Francisco,CA,,,,,"The 10-day program exposes students to fundamental AI concepts, and guides them to build a socially impactful AI project. The program runs as a 10-session (40 hour) project-based bootcamp.",High School,1500.0,,10 days
Google CSSI Extension San Jose State University,https://buildyourfuture.withgoogle.com/programs/computer-science-summer-institute/,Summer Camp,Private,High,Free,San Jose State University,CA,Underrepresented,,,,Google’s Computer Science Summer Institute: Online is a 4-week introduction to computer science for rising college freshmen with a passion for technology - especially students who’ve been historically marginalized from the field.,Graduating Seniors,Free,Incoming Freshman for San Jose State University,4 Weeks
Santa Clara U Summer Institute for Humanitarian Computing  (not currently active),https://www.scu.edu/engineering/beyond-the-classroom/outreach/summer-institute-for-humanitarian-computing/program-details/,Summer Camp,University,High,,Santa Clara,CA,Underrepresented,,,,This is an intensive one-month program for local high school students to be offered as a pilot at Santa Clara University in the summer of 2016.  The program capitalizes on SCU's Frugal Innovation Hub and more than 10 years of experience in K-12 outreach to provide students with a rewarding opportunity to create mobile applications for underserved populations.,High school students who have completed their junior or senior year,,,
Emotion AI Camp,https://emotion.ai-camp.org/,Summer Camp,University,"Middle, High",$975-$2249,Stanford,CA,,,,,AI Camp teaches middle and high school students machine learning and career frameworks through real life experience. Prepare for your major and career by joining us!,Ages 13-18,$975-$2249,,3 Weeks
Stanford - Girls Teaching Girls How to Code - Code Camp,http://girlsteachinggirlstocode.org/,Summer Camp,University,High,Free,Stanford,CA,Underrepresented,Female,,,"At Girls Teaching Girls to Code, we love creating fun experiences to inspire high school girls to pursue futures in Computer Science and Engineering.",High School,Free,,2 weeks
PlanetBravo: Java 2-Week Intensive Virtual,https://www.planetbravo.com/camps/courses2021.php,Summer Camp,Private,"Middle, High",773.0,Virtual,"CA, Virtual",,,,,"From the beginning, PlanetBravo's award-winning summer camp has always been about giving kids a fun, confidence-boosting experience where they can explore and develop new multimedia skills with their friends. Whether it's learning to code, making movies, modding Minecraft, or building robots, our kids are using their summers to do incredible things with technology here at camp.",Grades 6-9,773.0,,2 weeks
PlanetBravo: Coding 101 with Python Virtual,https://www.planetbravo.com/camps/courses2021.php,Summer Camp,Private,"Elementary, Middle, High",399.0,Virtual,"CA, Virtual",,,,,"From the beginning, PlanetBravo's award-winning summer camp has always been about giving kids a fun, confidence-boosting experience where they can explore and develop new multimedia skills with their friends. Whether it's learning to code, making movies, modding Minecraft, or building robots, our kids are using their summers to do incredible things with technology here at camp.",Grades 4-9,399.0,,5 days
PlanetBravo: Game Design with Python Virtual,https://www.planetbravo.com/camps/courses2021.php,Summer Camp,Private,"Elementary, Middle, High",399.0,Virtual,"CA, Virtual",,,,,"From the beginning, PlanetBravo's award-winning summer camp has always been about giving kids a fun, confidence-boosting experience where they can explore and develop new multimedia skills with their friends. Whether it's learning to code, making movies, modding Minecraft, or building robots, our kids are using their summers to do incredible things with technology here at camp.",Grades 4-9,399.0,,5 days
PlanetBravo: Intro to Game Design Virtual,https://www.planetbravo.com/camps/courses2021.php,Summer Camp,Private,"Elementary, Middle, High",399.0,Virtual,"CA, Virtual",,,,,"From the beginning, PlanetBravo's award-winning summer camp has always been about giving kids a fun, confidence-boosting experience where they can explore and develop new multimedia skills with their friends. Whether it's learning to code, making movies, modding Minecraft, or building robots, our kids are using their summers to do incredible things with technology here at camp.",Grades 4-9,399.0,,5 days
PlanetBravo: JavaScript Game Coding Virtual,https://www.planetbravo.com/camps/courses2021.php,Summer Camp,Private,"Elementary, Middle, High",399.0,Virtual,"CA, Virtual",,,,,"From the beginning, PlanetBravo's award-winning summer camp has always been about giving kids a fun, confidence-boosting experience where they can explore and develop new multimedia skills with their friends. Whether it's learning to code, making movies, modding Minecraft, or building robots, our kids are using their summers to do incredible things with technology here at camp.",Grades 4-9,399.0,,5 days
PlanetBravo: Minecraft Mod Makers Virtual,https://www.planetbravo.com/camps/courses2021.php,Summer Camp,Private,Elementary,399.0,Virtual,"CA, Virtual",,,,,"From the beginning, PlanetBravo's award-winning summer camp has always been about giving kids a fun, confidence-boosting experience where they can explore and develop new multimedia skills with their friends. Whether it's learning to code, making movies, modding Minecraft, or building robots, our kids are using their summers to do incredible things with technology here at camp.",Grades 2-3,399.0,,5 days
PlanetBravo: Minecraft Modding Virtual,https://www.planetbravo.com/camps/courses2021.php,Summer Camp,Private,"Elementary, Middle, High",399.0,Virtual,"CA, Virtual",,,,,"From the beginning, PlanetBravo's award-winning summer camp has always been about giving kids a fun, confidence-boosting experience where they can explore and develop new multimedia skills with their friends. Whether it's learning to code, making movies, modding Minecraft, or building robots, our kids are using their summers to do incredible things with technology here at camp.",Grades 4-9,399.0,,5 days
PlanetBravo: Roblox Game Design Virtual,https://www.planetbravo.com/camps/courses2021.php,Summer Camp,Private,"Elementary, Middle, High",399.0,Virtual,"CA, Virtual",,,,,"From the beginning, PlanetBravo's award-winning summer camp has always been about giving kids a fun, confidence-boosting experience where they can explore and develop new multimedia skills with their friends. Whether it's learning to code, making movies, modding Minecraft, or building robots, our kids are using their summers to do incredible things with technology here at camp.",Grades 4-9,399.0,,5 days
PlanetBravo: Unity 3D Game Design Virtual,https://www.planetbravo.com/camps/courses2021.php,Summer Camp,Private,"Elementary, Middle, High",399.0,Virtual,"CA, Virtual",,,,,"From the beginning, PlanetBravo's award-winning summer camp has always been about giving kids a fun, confidence-boosting experience where they can explore and develop new multimedia skills with their friends. Whether it's learning to code, making movies, modding Minecraft, or building robots, our kids are using their summers to do incredible things with technology here at camp.",Grades 4-9,399.0,,5 days
PlanetBravo: Virtual Robotics Virtual,https://www.planetbravo.com/camps/courses2021.php,Summer Camp,Private,"Elementary, Middle, High",399.0,Virtual,"CA, Virtual",,,,,"From the beginning, PlanetBravo's award-winning summer camp has always been about giving kids a fun, confidence-boosting experience where they can explore and develop new multimedia skills with their friends. Whether it's learning to code, making movies, modding Minecraft, or building robots, our kids are using their summers to do incredible things with technology here at camp.",Grades 4-9,399.0,,5 days
TechKnowHow,http://www.techknowhowkids.com/,Summer Camp,Private,"Elementary, Middle",200.0,Virtual,"CA, Virtual",,,,,San Francisco Bay Area Camps feature smaller-size classes full of unique tech projects ranging from Robotics to Coding.,Age 5-12,200.0,,1 week
AI4ESS Summer School,https://www2.cisl.ucar.edu/events/summer-school/ai4ess/2020/artificial-intelligence-earth-system-science-ai4ess-summer-school,Summer Camp,University,,Free,*Boulder,CO,,,,,"The AI4ESS Summer School is a week long interactive course covering essential and cutting edge topics in artificial intelligence, machine learning, and deep learning that are relevant for Earth System Science problems. Each morning, students will participate in lectures from leading researchers at the intersection of AI and ESS on AI fundamentals, ESS AI applications, and emerging methods. Afternoons will feature interactive breakout sessions where students will work in teams to solve challenge problems with real Earth System data and the AI techniques they have studied during the week. There will also be opportunities to network with the instructors and other students and present a poster about your research.",Not Specified,Free,,5 Days
Engineering for Kids:  Jr Robotics,https://www.engineeringforkids.com/denver/programs/camps/,Summer Camp,Private,Elementary,479.0,CO,CO,,,,,"Our campers will be working on 2 different topics in AM and in PM. And we offer a huge variety of such pairings thus offering something to each child. Our goal is the exposure to variety of STEM topics in a very fun, engaging environment and inspiring the love for STEM",Ages 6-8,479.0,,5 days
Engineering for Kids: Build you own Minecraft,https://www.engineeringforkids.com/denver/programs/camps/,Summer Camp,Private,"Elementary, Middle",479.0,CO,CO,,,,,"Our campers will be working on 2 different topics in AM and in PM. And we offer a huge variety of such pairings thus offering something to each child. Our goal is the exposure to variety of STEM topics in a very fun, engaging environment and inspiring the love for STEM",Ages 9-12,479.0,,5 days
Engineering for Kids: Electronic Game Design,https://www.engineeringforkids.com/denver/programs/camps/,Summer Camp,Private,"Elementary, Middle",479.0,CO,CO,,,,,"Our campers will be working on 2 different topics in AM and in PM. And we offer a huge variety of such pairings thus offering something to each child. Our goal is the exposure to variety of STEM topics in a very fun, engaging environment and inspiring the love for STEM",Ages 9-12,479.0,,5 days
Engineering for Kids: Minecraft EDU,https://www.engineeringforkids.com/denver/programs/camps/,Summer Camp,Private,Elementary,479.0,CO,CO,,,,,"Our campers will be working on 2 different topics in AM and in PM. And we offer a huge variety of such pairings thus offering something to each child. Our goal is the exposure to variety of STEM topics in a very fun, engaging environment and inspiring the love for STEM",Ages 6-8,479.0,,5 days
Engineering for Kids: Minecraft EDU,https://www.engineeringforkids.com/denver/programs/camps/,Summer Camp,Private,"Elementary, Middle",479.0,CO,CO,,,,,"Our campers will be working on 2 different topics in AM and in PM. And we offer a huge variety of such pairings thus offering something to each child. Our goal is the exposure to variety of STEM topics in a very fun, engaging environment and inspiring the love for STEM",Ages 9-12,479.0,,5 days
Engineering for Kids: Mobile App Coding,https://www.engineeringforkids.com/denver/programs/camps/,Summer Camp,Private,Elementary,479.0,CO,CO,,,,,"Our campers will be working on 2 different topics in AM and in PM. And we offer a huge variety of such pairings thus offering something to each child. Our goal is the exposure to variety of STEM topics in a very fun, engaging environment and inspiring the love for STEM",Ages 6-8,479.0,,5 days
Engineering for Kids: Python Gym,https://www.engineeringforkids.com/denver/programs/camps/,Summer Camp,Private,"Elementary, Middle",479.0,CO,CO,,,,,"Our campers will be working on 2 different topics in AM and in PM. And we offer a huge variety of such pairings thus offering something to each child. Our goal is the exposure to variety of STEM topics in a very fun, engaging environment and inspiring the love for STEM",Ages 9-12,479.0,,5 days
Engineering for Kids: Python Gym,https://www.engineeringforkids.com/denver/programs/camps/,Summer Camp,Private,"Elementary, Middle",479.0,CO,CO,,,,,"Our campers will be working on 2 different topics in AM and in PM. And we offer a huge variety of such pairings thus offering something to each child. Our goal is the exposure to variety of STEM topics in a very fun, engaging environment and inspiring the love for STEM",Ages 9-12,479.0,,5 days
Engineering for Kids: Robotics,https://www.engineeringforkids.com/denver/programs/camps/,Summer Camp,Private,"Elementary, Middle",479.0,CO,CO,,,,,"Our campers will be working on 2 different topics in AM and in PM. And we offer a huge variety of such pairings thus offering something to each child. Our goal is the exposure to variety of STEM topics in a very fun, engaging environment and inspiring the love for STEM",Ages 9-12,479.0,,5 days
Engineering for Kids: Scratch Coding,https://www.engineeringforkids.com/denver/programs/camps/,Summer Camp,Private,Elementary,479.0,CO,CO,,,,,"Our campers will be working on 2 different topics in AM and in PM. And we offer a huge variety of such pairings thus offering something to each child. Our goal is the exposure to variety of STEM topics in a very fun, engaging environment and inspiring the love for STEM",Ages 6-8,479.0,,5 days
Engineering for Kids: Sphero Robotics,https://www.engineeringforkids.com/denver/programs/camps/,Summer Camp,Private,Elementary,479.0,CO,CO,,,,,"Our campers will be working on 2 different topics in AM and in PM. And we offer a huge variety of such pairings thus offering something to each child. Our goal is the exposure to variety of STEM topics in a very fun, engaging environment and inspiring the love for STEM",Ages 6-8,479.0,,5 days
